jobId,employerId,hourlyRate,startTime,endTime,daysToWork,educationRequirement
0,379,10,7:46:00 AM,3:46:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
1,379,22.21763336,7:31:00 AM,3:31:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
2,380,10,8:00:00 AM,4:00:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
3,380,15.31207064,7:39:00 AM,3:39:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
4,381,21.35540929,7:53:00 AM,3:53:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
5,381,12.09382569,8:13:00 AM,4:13:00 PM,"[Monday,Sunday,Thursday,Tuesday,Saturday]",HighSchoolOrCollege
6,381,21.84618702,8:36:00 AM,4:36:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
7,381,18.71319307,7:47:00 AM,3:47:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Low
8,382,13.37043245,7:45:00 AM,3:45:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
9,382,24.52833044,7:19:00 AM,3:19:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
10,382,12.04070302,8:19:00 AM,4:19:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",HighSchoolOrCollege
11,382,11.01125212,8:19:00 AM,4:19:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Graduate
12,382,21.87043088,7:27:00 AM,3:27:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
13,382,16.77235998,8:16:00 AM,4:16:00 PM,"[Monday,Tuesday,Wednesday,Thursday,Friday]",Bachelors
14,382,12.95747348,8:32:00 AM,4:32:00 PM,"[Saturday,Monday,Thursday,Tuesday,Friday]",HighSchoolOrCollege
