participantId,jobId,financialStatus,availableBalance,extraBudget,wage,avgDailyWorkTime
0,254.0,Stable,39931.6876636209,19668.856330119917,8636.880058553219,7.83
1,929.0,Stable,33444.829892485766,8211.495148371148,7589.638690895696,7.92
2,348.0,Stable,30270.048169317703,14847.27861303816,6651.657930619781,7.92
3,316.0,Stable,28602.34252151503,13972.320135211789,6428.953178567979,7.83
4,177.0,Stable,34291.14027623826,33265.212415140115,8335.18092657219,7.92
5,33.0,Stable,3160.419903061378,2537.448262379301,1680.0,7.92
6,89.0,Stable,2416.6537048903456,1813.06670613839,1871.0598566208869,7.92
7,270.0,Stable,20075.432259822875,19047.292296513067,5643.554761121759,7.92
8,20.0,Stable,8278.154616599993,7084.28906112926,3348.5096343586115,7.83
9,21.0,Stable,58202.007423089504,28772.43081270925,12040.121851749433,7.92
10,29.0,Stable,27664.37174234616,13543.88576264191,6207.317802940463,7.83
11,625.0,Stable,27968.82093862361,6833.862653834517,6879.994137346932,7.87
12,1205.0,Stable,25321.40396848508,12340.20982842874,6565.201797570392,7.83
13,330.0,Stable,17585.48412797753,16263.24870257705,5414.627793912878,7.83
14,139.0,Stable,27137.148816451663,25982.825620450283,6700.684928698649,7.83
15,730.0,Stable,26353.278298038505,6437.415380504858,6480.874439216067,7.92
16,297.0,Stable,43859.18681324143,21606.21198620381,9184.067094354996,7.92
17,603.0,Stable,82500.43879901891,20431.505808720874,16800.0,7.83
18,278.0,Stable,81846.46064776376,20298.923845309146,16800.0,7.83
19,206.0,Stable,38666.86641244631,19041.173574598,8570.447722165542,7.83
20,342.0,Stable,23860.376217030607,11600.67142365884,5578.072380971025,7.83
21,301.0,Stable,3369.425463407544,2657.281867185849,2304.7455062041886,7.83
22,102.0,Stable,7643.386627273479,6607.555235636735,3314.8413941250533,7.92
23,1037.0,Stable,18618.02719327304,8982.427746266305,5330.28101823305,7.83
24,57.0,Stable,35411.49861353044,17409.30769565639,7623.054336848183,7.92
25,159.0,Stable,23483.211950380093,11441.579473973932,5460.168845555402,7.83
26,194.0,Stable,20206.94983229147,9799.57398591198,5125.921987594796,7.82
27,585.0,Stable,25361.222058278912,6189.336958543825,5850.781549888478,7.83
28,1244.0,Stable,62268.19828910679,15338.42590154182,12949.582542801278,7.83
29,80.0,Stable,17259.134417445082,8311.172712675223,4270.273140582644,7.83
30,619.0,Stable,1831.479094308003,980.047694566702,2032.3387716663244,8.0
31,932.0,Stable,69693.89237408858,17258.287660306458,14100.989736527641,7.83
32,832.0,Stable,24669.186007417167,5945.60628118254,5695.032502808909,7.83
33,803.0,Stable,55955.65887217108,27654.47640070032,11482.752975143041,7.83
34,319.0,Stable,11223.423162392108,10170.062035572597,4042.563549472332,7.92
35,294.0,Stable,2334.1765418577343,1688.5671299690976,1923.5312752592013,7.92
36,212.0,Stable,68200.24994397047,33739.50961345867,13941.269342507152,7.92
37,367.0,Stable,23584.278585355278,5677.578203062039,5690.017545857112,7.92
38,1022.0,Stable,18804.70168358,4547.365626191508,4726.632916453134,7.83
39,171.0,Stable,12815.106711614184,12042.090138975522,3809.8561860478926,7.92
40,534.0,Stable,2695.983362724282,2049.028210747248,2173.0962617600094,7.83
41,54.0,Stable,2671.9289935954657,1993.8286966516544,1838.401631364066,7.83
42,723.0,Stable,23886.121710261235,5808.8348845341625,5496.974668105856,7.83
43,1019.0,Stable,52786.50281820823,26041.83233873908,11164.595542208532,7.83
44,,Unknown,,,0.0,-1.0
45,286.0,Stable,67989.146031452,16843.3555301971,13695.11711287934,7.83
46,1228.0,Stable,22785.081786500283,5541.397831331183,5446.117300547243,7.83
47,222.0,Stable,20577.78733614691,9948.7973246519,5032.135752467958,7.92
48,66.0,Stable,19196.955014182167,9257.739331558229,5114.961474614813,7.92
49,1024.0,Stable,66862.11890471009,33120.598624270475,13626.666931612559,7.83
50,112.0,Stable,18620.452148025623,8967.496803982174,4831.907740777596,7.92
51,24.0,Stable,60524.64753576064,29879.79206354576,12619.215632905101,7.83
52,192.0,Stable,4173.739757987225,3259.0169124771533,2509.238421204147,7.92
53,1211.0,Stable,16384.632960404033,3940.7818888350216,4069.4278479886775,7.92
54,71.0,Stable,30379.8825052655,28798.784335685265,7838.1771929274655,7.92
55,38.0,Stable,2773.2744093426154,2087.2256718660738,1858.8035744658303,7.92
56,128.0,Stable,8911.819127748013,7825.164653859342,3266.1556286087725,7.83
57,76.0,Stable,51000.27814695873,25113.358610322684,10799.22637329793,7.83
58,549.0,Stable,65807.37487349438,16303.45748473863,13406.45456966163,7.92
59,581.0,Stable,52371.96381996577,12937.016732719476,10886.716912074955,7.92
60,305.0,Stable,17474.76427537154,8387.478405395223,4702.739255125259,7.84
61,214.0,Stable,18536.891288148217,8887.891710111366,4723.779696280517,7.92
62,202.0,Stable,32901.760354817845,16093.008694747248,7298.901857357659,7.83
63,115.0,Stable,17941.833694316458,8614.328913483016,4660.487984014284,7.83
64,273.0,Stable,16611.49955946531,7948.9858356255,4469.761780184312,7.92
65,359.0,Stable,17148.097754661892,8177.266327282789,4398.3655265561765,7.92
66,267.0,Stable,22688.471077039543,21491.365296426786,6789.790707996259,7.92
67,82.0,Stable,17682.001785768833,8483.834365993593,4382.786480460191,8.0
68,161.0,Stable,16223.384072437588,7732.830792256093,4265.796904243621,7.83
69,347.0,Stable,12268.448962361354,11172.284396504674,4065.180653002002,7.83
70,132.0,Stable,5345.218771654615,4476.208533005838,2457.3875037704775,7.92
71,138.0,Stable,4651.7336626386805,3791.539478276624,2448.0085127321663,7.83
72,385.0,Stable,48135.86191580888,23710.424392670076,10269.647555024949,7.92
73,50.0,Stable,29584.13481423048,14433.45259788143,6773.261516906473,7.83
74,258.0,Stable,1657.783440183714,1016.2719111242546,1697.500000000001,7.92
75,125.0,Stable,5280.032341293821,4354.703375522253,2692.3591448966017,8.0
76,252.0,Stable,16684.07037460576,7988.763815086985,4243.501091821577,7.83
77,269.0,Stable,16032.312727782411,7658.823848555916,4619.404446405855,7.92
78,466.0,Stable,62053.80583706899,15365.894100341611,12590.987378620506,8.0
79,454.0,Stable,24442.580424346907,11927.0556142835,5498.351329192332,7.92
80,358.0,Stable,16258.269767459942,7773.444538674347,4174.92892026898,7.83
81,323.0,Stable,19400.892781454106,18277.9266921712,5315.02798784142,7.83
82,207.0,Stable,21589.77484683386,20520.922831973232,5811.578493039566,7.84
83,1033.0,Stable,24572.202696243887,5995.15717733862,5655.9720234314755,7.83
84,69.0,Stable,15223.924475287178,7220.301446057412,4068.6038141149,7.83
85,166.0,Stable,12549.266245056431,5878.663685448711,4029.343445887254,7.83
86,357.0,Stable,15288.37930812866,7286.198578469312,3952.0654431844623,7.83
87,5.0,Stable,3256.6681295661774,2625.96283435231,2128.513321890514,7.83
88,122.0,Stable,2562.00729817935,1958.5011486735305,1697.4999999999995,7.92
89,760.0,Stable,22323.890681042107,5432.440101038326,5277.140350061404,7.83
90,630.0,Stable,22348.778326520656,5438.771587613578,5186.14576773218,7.92
91,104.0,Stable,2828.100532172559,2212.075455168312,1697.4999999999995,7.92
92,25.0,Stable,14337.707634224653,6805.120206442049,3885.087248916315,7.92
93,339.0,Stable,13524.71275210834,6400.101384177472,3907.3295761495056,7.83
94,28.0,Stable,29775.43224128572,14526.539122442964,6705.217122859001,7.83
95,191.0,Stable,12109.829682284317,5671.284057460672,3551.9164066928092,7.83
96,30.0,Stable,13461.15221240096,6367.394213187218,3719.372896836433,7.92
97,354.0,Stable,19675.767907112386,18657.738335014936,5302.541339789879,7.83
98,6.0,Stable,13520.271578604486,6376.790988536053,3670.1594199815895,7.83
99,298.0,Stable,26655.59615683509,12963.671469296602,6266.978608651776,7.92
100,402.0,Stable,13807.226888543528,6560.085350457299,3783.218424145856,7.83
101,420.0,Stable,23835.64306644199,11617.013301325049,5146.214639731812,7.83
102,1256.0,Stable,46918.01708383104,23090.66206665313,10123.854211863933,7.83
103,1321.0,Stable,46807.64087654508,11550.67277603042,9686.732008990692,7.83
104,97.0,Stable,4728.377332031871,4097.656541255709,2009.1272886730817,8.0
105,334.0,Stable,6573.66300955882,5733.804059107307,2771.1857291660667,7.84
106,336.0,Stable,18690.336287701604,17780.19349487888,5016.320843553238,7.92
107,226.0,Stable,13475.620695650045,6373.683738704077,3631.4909744853603,7.83
108,784.0,Stable,21278.094135193674,5168.111987289361,5119.773348575624,7.83
109,1141.0,Stable,20442.294906493527,9911.881703562993,5361.701425005967,7.83
110,1035.0,Stable,20306.02268835713,4925.079960034533,5007.980337326361,7.83
111,63.0,Stable,2360.9388320534304,1742.5619312015992,1680.0,7.92
112,265.0,Stable,47668.770285571125,23441.971053326724,10047.15314420144,7.92
113,344.0,Stable,21480.280282212865,20368.024524633503,5602.6105597531405,7.83
114,158.0,Stable,41411.84660198716,20333.21638403476,8825.017887802876,7.83
115,78.0,Stable,12020.72718880549,5635.656677443919,3628.4984273779864,7.83
116,960.0,Stable,59768.19789766371,14790.623762361178,12246.113426557113,7.83
117,27.0,Stable,19131.87006649941,18120.036196278885,5419.96778254013,7.92
118,1174.0,Stable,44685.49361443743,22041.015263147896,9587.853517313117,7.83
119,248.0,Stable,39498.49720604156,19336.87673917401,8581.481166833773,7.83
120,16.0,Stable,7299.165063117486,6440.089780299952,2937.0338554190926,7.92
121,4.0,Stable,12514.560924591247,5881.559000523828,3587.7087613223816,7.83
122,1052.0,Stable,21016.806265802927,5102.752145016378,5022.921748711047,7.92
123,650.0,Stable,20754.289164218186,10016.965609211662,4961.409091241076,7.83
124,461.0,Stable,58902.24557004352,14573.563511894095,12048.008184076547,7.83
125,553.0,Stable,51359.382237788224,25374.5026684682,11386.643051964467,7.92
126,239.0,Stable,2826.293266702357,2189.644121158997,1848.6843003536196,7.92
127,,Unknown,,,0.0,-1.0
128,141.0,Stable,14418.042469655104,13509.992032632816,4171.804924347543,7.83
129,356.0,Stable,10840.774300298925,5035.262919539368,3829.420503902919,7.83
130,282.0,Stable,10723.535349212649,4986.046212834528,3480.440627209076,7.92
131,328.0,Stable,7031.13962697317,6130.684042601731,2959.1367580517185,7.92
132,285.0,Stable,37035.23057381538,18090.551414073867,8077.892496824128,7.92
133,224.0,Stable,11939.697050569994,5595.150950497354,3456.5228499079626,7.92
134,616.0,Stable,21986.69783771564,5341.948134462664,4936.410879374502,7.92
135,292.0,Stable,8882.09691673388,8081.723939168245,3564.3429506329376,7.83
136,320.0,Stable,36119.64726253312,17648.4744943766,7868.431107527621,7.83
137,22.0,Stable,4743.587889712155,4081.253245055142,1973.3921537336141,7.85
138,140.0,Stable,9117.02867637857,8107.523278661335,3402.160394306745,7.83
139,81.0,Stable,10850.882123990592,9580.236241366913,3854.0373431449534,7.92
140,839.0,Stable,44303.61249567536,10869.041501658558,9447.371894080989,7.83
141,396.0,Stable,9828.094250404054,8996.991565095706,3072.004805428041,7.83
142,,Unknown,,,0.0,-1.0
143,702.0,Stable,19004.925172254538,9192.77845413238,5110.252336920317,7.87
144,48.0,Stable,10992.243674664607,5120.160525967178,3508.9117862775606,7.83
145,146.0,Stable,3511.188031406152,2877.122906395519,2089.334379243097,7.83
146,247.0,Stable,10256.275885631034,4716.584918251414,3539.7528593479637,7.92
147,225.0,Stable,10846.99864670069,5008.717531464623,3277.59652344016,7.92
148,824.0,Stable,43552.74657381522,21428.470842303446,9313.443605052158,7.92
149,72.0,Stable,2342.445344661274,1715.9634083227168,1739.9356032787832,7.83
150,434.0,Stable,40950.25239354958,10083.010876824355,8653.882674008386,7.92
151,26.0,Stable,12730.82322421397,3028.3780304668294,3813.646566365506,8.0
152,217.0,Stable,10806.548616712484,5022.3374116810055,3244.8575720340286,7.92
153,119.0,Stable,4784.557445489405,3894.9597446057633,2672.6403613608463,7.85
154,,Unknown,,,0.0,-1.0
155,697.0,Stable,50731.60659315397,12529.001219919037,10817.912499423135,7.92
156,203.0,Stable,9632.09234331732,4384.487666698999,3164.9296073977775,7.92
157,503.0,Stable,52916.08583085286,13010.273939879353,10674.987909282947,7.83
158,256.0,Stable,31630.183399278387,15429.27222300576,7046.009572219017,7.83
159,658.0,Stable,21145.73415703728,5131.563290027544,4865.81451001812,7.83
160,1303.0,Stable,39367.47039112964,19374.987259266712,8383.541634677662,7.83
161,,Unknown,,,0.0,-1.0
162,133.0,Stable,4743.2427896523095,3956.909036869015,2375.8335011842264,7.92
